Shift,Mon,Tues,Wed,Thurs,Fri,Sat/Sun
"Neuro 1 (CT STAT, on site)",KF +late,RL,EZ  AM,RL + LC,IM,
"Neuro 2 (MRI STAT, on site)",CF +late,AM+rds,AM  EZ,CF  RL+late,BD NK,
Vascular (on site),GY*,GY*,GY*,GY*,GY,
"General (XR+GI to 1600, on site)",DK+rds,SR +late,DK,BD  KH+late,WW+late,
"CT/US (ER+IP to1600, on site)",SR,MK,WW,DL,TM,
MSK (on site),MK(+KL),TM,SR,MC,SR,
Neuro 3 (CT volume support),AM,KF,NK,AM,CF,
Neuro 4 (MR volume support),EZ,IM,RL* (clinic),EZ,MR,
Body volume support,TM,KH +late,,SR,ZB*,
Body MRI,,,,WW,,
Stoney Creek,KH,CF,IM,MR,DK,
"MA1 (spec msk, GI Tues/Thr/Fri)",MC,HC,MC,HC,HC,
Speers,HC,DK,KF,KH  BD  NK,DL,
Walker’s Line,RL,MR,NK MK,TM,DW,
WH other,NK,EZ,TM,MK,SH  KH,
Brant (mammo),DW,WW (biopsies),MR,IM,KF (biopsies),
Coiling,,,,,,
MSK Procedures,,,,,,
Body 1600-1800,Karikalan (MK),MHS,Karikalan (DL),DH,Warnica,
Body 1800-2100,MK,SR,HC  DL,MH,HW,
Neuro 1600-1800,KF  CF,AM,AM,RL,CG,
Neuro 1800-2100,CF KF,NK,AM,KF CF,KF,
