Shift,Mon,Tues,Wed,Thurs,Fri,Sat/Sun
"Neuro 1 (CT STAT, on site)",NK,EW,SK,BD,CF,
"Neuro 2 (MRI STAT, on site)",BD+rds,NK,NK  SH,EW+late,KF+late,
Vascular (on site),ZB*,ZB*,ZB*,ZB*,ZB*,
"General (XR+GI to 1600, on site)",CC KH+late,FG,CC,CC,KH+rds,
"CT/US (ER+IP to1600, on site)",DL,KH,SR,DW,FG,
MSK (on site),SR +late,SR,MK+late,MC+late,HC,
Neuro 3 (CT volume support),KF,KF,EW,CF,BD,
Neuro 4 (MR volume support),CF,SK,BD,NK,SK,
Body volume support,WW,SH,,KH,BA+late,
Body MRI,,,,BA,,
Stoney Creek,DK,CC,FG,MK,SH,
"MA1 (spec msk, GI Tues/Thr/Fri)",MC,MK,MC,HC,SR,
Speers,MK,BD,WW,FG,NK,
Walker’s Line,EW,DK,BA,KF,TM CC,
WH other,HC,CF,KH  DK,WW,DK,
Brant (mammo),DW,BA (biospies),DL,SH,WW (biopsies),
Coiling,,,NO RL CLINIC,,,
MSK Procedures,,,,SR,,
Body 1600-1800,SH,HD,MK 1600-1900,MC,BA,
Body 1800-2100,MH,MC  DL,HC (1900-2100)  MK,MDM,BA,
Neuro 1600-1800,AM,AM,CG,EW,KF,
Neuro 1800-2100,KF,EW,CF,Davis,SK,
