Shift,Mon,Tues,Wed,Thurs,Fri,Sat/Sun
"Neuro 1 (CT STAT, on site)",EZ,NK,EW,SK,AM  NK,
"Neuro 2 (MRI STAT, on site)",RL* (IC),IM,SH+late,RL* (IC) +late,EZ,
Vascular (on site),GY*,GY*,GY*,GY*,GY*,
"General (XR+GI to 1600, on site)",HC,DK KH(+KL),DK,CC,FG(+Karikalan),
"CT/US (ER+IP to1600, on site)",KH +late,FG,MK,TM,DW,
MSK (on site),MC +late,TM+rds,HC+late,MK,MK,
Neuro 3 (CT volume support),SK,EW,IM,EZ,MR,
Neuro 4 (MR volume support),NK,SH,AM,EW,NK  AM,
Body volume support,DL*,MK,,SH,KH,
Body MRI,,,,KH,,
Stoney Creek,CC,SK,CC,DK,CC,
"MA1 (spec msk, GI Tues/Thr/Fri)",TM,MC,MC,HC,HC,
Speers,FG,DW,FG,NK,DK,
Walker’s Line,DK,MR,DL,FG,EW,
WH other,AM,EZ,TM,MR,SK,
Brant (mammo),IM,KZ* (biopsies),MR,DL,SH (biopsies),
Coiling,,RL*(coiling; IC),RL*(clinic; IC),,,
MSK Procedures,,,,,,
Body 1600-1800,HM,Karikalan (DL KH),HC,MMHD,Karikalan (FG),
Body 1800-2100,SR MC,MH,DL  HC,DW,DHM,
Neuro 1600-1800,Karanwal,CG,SH,AR,AM,
Neuro 1800-2100,EW,SK IM,EZ,Ramonas,AM,
