Shift,Mon,Tues,Wed,Thurs,Fri,Sat/Sun
"Neuro 1 (CT STAT, on site)",CF,,IM,AM,NK,
"Neuro 2 (MRI STAT, on site)",MR+late,,KF+late,EZ  NK,SH+rds,
Vascular (on site),ZB*,,ZB*,ZB*,ZB*,
"General (XR+GI to 1600, on site)",DK TM,,KH  CC,DK,WW,
"CT/US (ER+IP to1600, on site)",BD,,DW,MK +late,DL,
MSK (on site),HC+late,,MK +late,TM +late,MK,
Neuro 3 (CT volume support),SH,,EZ,SK,MR,
Neuro 4 (MR volume support),EW,,RL* (clinic),EW,RL,
Body volume support,MK,,,(SH),DW (+KL),
Body MRI,,,,WW*,,
Stoney Creek,EZ (MW),,WW EW,RL,DK,
"MA1 (spec msk, GI Tues/Thr/Fri)",TM (CH),,TM +late,HC,CC TM,
Speers,SK (CH),,AM,CC,IM,
Walker’s Line,KF (MW),(TH),DK,KF,EW,
WH other,CC (CH),,SK,KH  SH,CF,
Brant (mammo),IM (CH),,SH WW,MR,KF (biopsies),
Coiling,,,,,,
MSK Procedures,,,,,,
Body 1600-1800,HC,,MM,MM,Karikalan (DW),
Body 1800-2100,MH,,MK,DM,DW,
Neuro 1600-1800,Ramonas,,KF,AM,AM,
Neuro 1800-2100,EW,,IM SK,Ramonas,RL,
